@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: BZ173 :"c:\lscc\diamond\projects\sdram_controller\sdram_controller\impl1\source\sdram_controller.v":454:1:454:4|ROM ready_signal[1:0] (in view: work.sdram_controller(verilog)) mapped in logic.
@N: MO106 :"c:\lscc\diamond\projects\sdram_controller\sdram_controller\impl1\source\sdram_controller.v":454:1:454:4|Found ROM ready_signal[1:0] (in view: work.sdram_controller(verilog)) with 25 words by 2 bits.
@N: FX493 |Applying initial value "0" on instance present_state[0].
@N: FX493 |Applying initial value "1" on instance present_state[1].
@N: FX493 |Applying initial value "0" on instance present_state[2].
@N: FX493 |Applying initial value "0" on instance present_state[3].
@N: FX493 |Applying initial value "0" on instance present_state[4].
@N: FX493 |Applying initial value "0" on instance present_state[5].
@N: FX493 |Applying initial value "0" on instance present_state[6].
@N: FX493 |Applying initial value "0" on instance present_state[7].
@N: FX493 |Applying initial value "0" on instance present_state[8].
@N: FX493 |Applying initial value "0" on instance present_state[9].
@N: FX493 |Applying initial value "0" on instance present_state[10].
@N: FX493 |Applying initial value "0" on instance present_state[11].
@N: FX493 |Applying initial value "0" on instance present_state[12].
@N: FX493 |Applying initial value "0" on instance present_state[13].
@N: FX493 |Applying initial value "0" on instance present_state[14].
@N: FX493 |Applying initial value "0" on instance present_state[15].
@N: FX493 |Applying initial value "0" on instance present_state[16].
@N: FX493 |Applying initial value "0" on instance present_state[17].
@N: FX493 |Applying initial value "0" on instance present_state[18].
@N: FX493 |Applying initial value "0" on instance present_state[19].
@N: FX493 |Applying initial value "0" on instance present_state[20].
@N: FX493 |Applying initial value "0" on instance present_state[21].
@N: FX493 |Applying initial value "0" on instance present_state[22].
@N: FX493 |Applying initial value "0" on instance present_state[23].
@N: FX493 |Applying initial value "0" on instance present_state[24].
@N: FX164 |The option to pack registers in the IOB has not been specified. Please set syn_useioff attribute.  
@N: FX1056 |Writing EDF file: C:\lscc\diamond\projects\SDRAM_controller\sdram_controller\impl1\sdram_controller_impl1.edi
@N: BW106 |Synplicity Constraint File capacitance units using default value of 1pF 
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
